"","IndicatorID","GridID","UnitID","NSTC100","Period","ES","SD","N","N_OBS","GTC","STC","CategoryID","Name","Code","Parameters","Units","YearMin","YearMax","MonthMin","MonthMax","DepthMin","DepthMax","Metric","Response","Applied","Comments","ACDEV","GTC_HM","GTC_ML","STC_HM","STC_ML","GSC_HM","GSC_ML","SSC_HM","SSC_ML","IW","ET","EQR_HG","EQR_GM","EQR_MP","EQR_PB","W"
"429",1,5166,21,NA,20062013,22.460625,2.73948233110935,8,23,0,31.25,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,23.3596426,NA,NA,NA,NA,NA
"430",1,5240,21,NA,20062006,11.8566666666667,NA,1,1,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,23.3596426,NA,NA,NA,NA,NA
"431",1,5390,21,NA,20062006,17.4433333333333,NA,1,1,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,23.3596426,NA,NA,NA,NA,NA
"432",1,5399,32,NA,20062014,5.32147266313933,1.69442895754749,9,33,11.1111111111111,22.2222222222222,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,9.708019287,NA,NA,NA,NA,NA
"433",1,5472,32,NA,20062014,6.57298611111111,1.52396366433733,8,14,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,9.708019287,NA,NA,NA,NA,NA
"434",1,5474,32,NA,20062014,5.33492063492064,2.07592446629706,7,12,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,9.708019287,NA,NA,NA,NA,NA
"435",1,5475,32,NA,20062014,5.79,2.31193236276497,9,13,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,9.708019287,NA,NA,NA,NA,NA
"436",1,5541,21,NA,20062006,19.7333333333333,NA,1,1,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,23.3596426,NA,NA,NA,NA,NA
"437",1,5549,33,7,20062014,3.84359641387419,1.79796652016233,9,69,44.4444444444444,88.8888888888889,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.43106953,NA,NA,NA,NA,NA
"438",1,5594,19,NA,20092013,9.80833333333333,0.695321668166772,2,10,25,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,8.729265491,NA,NA,NA,NA,NA
