"","IndicatorID","UnitID","GridID","Period","ES","SD","N","N_OBS","GTC","STC"
"1999",6,61,1248,20062014,0.538796296296296,0.332529528531947,9,25,0,0
"2000",6,61,1249,20062014,0.789555555555556,0.505911176053223,9,33,0,0
"2001",6,61,1279,20112011,0.01,NA,1,1,0,0
"2002",7,61,1052,20092013,6.5,0.707106781186548,2,2,0,0
"2003",7,61,1090,20092009,7,NA,1,1,0,0
"2004",7,61,1091,20092014,6.5,2.42383992870816,5,5,0,0
"2005",7,61,1092,20112011,6,NA,1,1,0,0
"2006",7,61,1128,20102014,4.5,0,3,3,0,0
"2007",7,61,1129,20102014,8.5,1,3,3,0,0
"2008",7,61,1131,20092010,5.75,0.353553390593274,2,2,0,0
"2009",7,61,1169,20092014,9.91666666666667,2.26752434753558,6,6,0,0
"2010",7,61,1204,20092013,11.5,0.5,3,3,0,0
"2011",7,61,1247,20102014,5.3,0.570087712549569,5,5,0,0
"2012",7,61,1248,20092014,6.125,1.09258866917061,6,11,0,0
"2013",7,61,1249,20092014,4.93055555555556,1.12350724008282,6,11,0,0
"2014",301,61,1052,20092009,1.11,NA,1,1,0,0
"2015",301,61,1053,20062014,8.00747081930415,7.88828256023375,9,93,11.1111111111111,11.1111111111111
"2016",301,61,1090,20092014,1.71775793650794,0.398763212781376,6,43,8.33333333333333,25
"2017",301,61,1091,20062014,3.16792882825236,1.49897982454467,9,118,22.2222222222222,100
"2018",301,61,1092,20062014,6.17699986167306,2.25697915572119,9,101,16.6666666666667,100
"2019",301,61,1128,20092014,1.51,0.686197250553124,4,4,0,0
"2020",301,61,1129,20112014,0.67265625,0.324038792929051,4,6,0,0
"2021",301,61,1130,20062014,1.95555453805454,0.540043481958062,9,121,33.3333333333333,100
"2022",301,61,1131,20062014,4.97747836538462,1.55034816382219,9,126,33.3333333333333,94.4444444444444
"2023",301,61,1167,20102010,2.075,NA,1,2,0,0
"2024",301,61,1169,20092014,0.537111111111111,0.130692835625946,5,6,0,0
"2025",301,61,1204,20092014,1.45185317460317,0.516673990329193,6,44,8.33333333333333,16.6666666666667
"2026",301,61,1205,20102011,0.3625,0.0176776695296637,2,3,0,0
"2027",301,61,1208,20062014,3.68230214230214,1.33832974525245,9,118,27.7777777777778,100
"2028",301,61,1241,20102010,2.99,NA,1,1,0,0
"2029",301,61,1242,20112011,0.65,NA,1,1,0,0
"2030",301,61,1247,20062014,1.80474537037037,0.760093269327503,9,125,38.8888888888889,0
"2031",301,61,1248,20092014,1.76185185185185,0.903297571156711,4,6,0,0
"2032",301,61,1249,20132014,2.978,2.90196622998959,2,6,0,0
"2033",1,62,31576,20122012,47.02,NA,1,1,0,0
"2034",1,62,31798,20062006,23.54,NA,1,3,0,0
