UnitID,Code.x,Description,IndicatorID,CategoryID,Name,Code.y,Parameters,Units,YearMin,YearMax,MonthMin,MonthMax,DepthMin,DepthMax,Metric,Response,Applied,Comments,ACDEV,GTC_HM,GTC_ML,STC_HM,STC_ML,GSC_HM,GSC_ML,SSC_HM,SSC_ML,IW,ET,EQR_HG,EQR_GM,EQR_MP,EQR_PB,W,Thres,NSTC100,Period,ES,SD,EQR,EQRS,N,N_OBS,GTC,STC,GSC,SSC,EQRS_Class,TC,TC_Class,SC,SC_Class,AC_SE,AC_NPA,AC_PA,AC,ACC,ACC_Class,C,C_Class
5,CFR,Coastal FR channel,301,,Chlorophyll a (in-situ),CPHL-IN-SITU,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,2.8,,,,,,1,5,20152020,3.2616727994228,0.580387536500642,0.587762941286061,0.488606505345028,6,181,75,100,100,75,Moderate,87.5,High,87.5,High,0.0431398658435741,4.9927722592781e-27,1,1,100,High,91.6666666666667,High
5,CFR,Coastal FR channel,302,,Chlorophyll a (satellite),CPHL-EO,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,2.8,,,,,,1,6,20152020,2.06125325274198,0.248258552410929,0.907127307684793,0.901414346757843,6,4450807,100,100,100,100,High,100,High,100,High,0.000117675170842855,1,0,1,100,High,100,High
5,CFR,Coastal FR channel,3,2,Chlorophyll a (in-situ & satellite),CPHL,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,100,2.8,,,,,,1,5,20152020,2.66146302608239,0.276022202608135,0.707893868050806,0.656879058902391,6,4450988,87.5,100,100,87.5,Good,93.75,High,93.75,High,0.000130832549795302,1,0,1,100,High,95.8333333333333,High
6,CIRL,Coastal IRL 3,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2015,2020,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,11.4,,,,,,1,,20152020,9.60955978609626,2.41940465945393,0.804603186040959,0.7769260732177,5,335,80,0,80,70,Good,40,Low,75,High,0.132186197330654,1,0,1,100,High,71.6666666666667,Moderate
6,CIRL,Coastal IRL 3,2,12,Dissolved Inorganic Phosphorus,DIP,PHOS,umol/l,2015,2020,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,0.77,,,,,,1,,20152020,0.620789500891266,0.079946710657272,0.837713596100543,0.818640748260135,5,335,80,0,80,70,High,40,Low,75,High,0.0043679554098503,1,0,1,100,High,71.6666666666667,Moderate
6,CIRL,Coastal IRL 3,4,3,Oxygen Deficiency,DOXY,DOXY,mg/l,2015,2020,7,10,0,500,5th percentile of deepest sample within 10 meters from bottom,0,1,,40,12,6,0,2,0.8,0.4,70,50,50,6,,,,,,1,,20192019,6.6,,0.66,0.668571428571429,1,1,0,0,0,0,Good,0,Low,0,Low,,,,,,,,
6,CIRL,Coastal IRL 3,301,,Chlorophyll a (in-situ),CPHL-IN-SITU,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,1.8,,,,,,1,,20192019,0.67,,1,1,1,1,0,0,0,0,High,0,Low,0,Low,,,,,,,,
6,CIRL,Coastal IRL 3,302,,Chlorophyll a (satellite),CPHL-EO,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,1.8,,,,,,1,6,20152020,1.63238253717516,0.154922824163412,0.740474813762176,0.703448377474731,6,4886112,100,100,100,100,Good,100,High,100,High,7.00863908912022e-05,1,0,1,100,High,100,High
6,CIRL,Coastal IRL 3,3,2,Chlorophyll a (in-situ & satellite),CPHL,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,100,1.8,,,,,,1,5,20152020,1.55982880082094,0.267506150434709,0.777325707647155,0.743708462959407,6,4886113,91.6666666666667,100,91.6666666666667,91.6666666666667,Good,95.8333333333333,High,91.6666666666667,High,0.000121018570425995,1,0,1,100,High,95.8333333333333,High
7,CNOR1,Coastal NOR 1,302,,Chlorophyll a (satellite),CPHL-EO,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,2.7,,,,,,1,6,20152020,0.892318442469072,0.0820969697508266,1,1,6,5633193,100,100,100,100,High,100,High,100,High,3.45899402536853e-05,1,0,1,100,High,100,High
7,CNOR1,Coastal NOR 1,3,2,Chlorophyll a (in-situ & satellite),CPHL,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,100,2.7,,,,,,1,6,20152020,0.892318442469072,0.0820969697508266,1,1,6,5633193,100,100,100,100,High,100,High,100,High,3.45899402536853e-05,1,0,1,100,High,100,High
8,CNOR2,Coastal NOR 2,302,,Chlorophyll a (satellite),CPHL-EO,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,1.9,,,,,,1,6,20152020,1.05435454899924,0.120623185378003,1,1,6,1633305,100,100,100,100,High,100,High,100,High,9.4383732337477e-05,1,0,1,100,High,100,High
8,CNOR2,Coastal NOR 2,3,2,Chlorophyll a (in-situ & satellite),CPHL,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,100,1.9,,,,,,1,6,20152020,1.05435454899924,0.120623185378003,1,1,6,1633305,100,100,100,100,High,100,High,100,High,9.4383732337477e-05,1,0,1,100,High,100,High
9,CNOR3,Coastal NOR 3,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2015,2020,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,9.2,,,,,,1,1,20152017,5.67962962962963,1.75045261636524,0.945226121396334,0.942844648413566,3,13,33.3333333333333,50,83.3333333333333,0,High,41.6666666666667,Low,41.6666666666667,Low,0.485488204890383,0.999999999999794,2.06501482580279e-13,0.999999999999794,100,High,61.1111111111111,Moderate
9,CNOR3,Coastal NOR 3,2,12,Dissolved Inorganic Phosphorus,DIP,PHOS,umol/l,2015,2020,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,0.71,,,,,,1,1,20152017,0.411296296296296,0.106072321783582,0.990867579908676,0.990470518165575,3,13,33.3333333333333,50,83.3333333333333,0,High,41.6666666666667,Low,41.6666666666667,Low,0.0294191688537092,1,0,1,100,High,61.1111111111111,Moderate
9,CNOR3,Coastal NOR 3,4,3,Oxygen Deficiency,DOXY,DOXY,mg/l,2015,2020,7,10,0,500,5th percentile of deepest sample within 10 meters from bottom,0,1,,40,12,6,0,2,0.8,0.4,70,50,50,6,,,,,,1,,20152019,8.14285714285714,0.142857142857143,0.814285714285714,0.834920634920635,3,4,0,0,66.6666666666667,0,High,0,Low,33.3333333333333,Low,0.0714285714285716,1,0,1,100,High,44.4444444444445,Low
9,CNOR3,Coastal NOR 3,5,11,Total Nitrogen,TN,NTOT,umol/l,2015,2020,1,12,0,10,Mean,1,1,,50,26,14,3,5,1,0.6,70,50,50,,,,,,,,2,20152018,15.2550264550265,2.81905000238233,,,3,43,33.3333333333333,100,66.6666666666667,0,,66.6666666666667,Moderate,33.3333333333333,Low,0.429901095059431,,,,,,,
